Change component parameters: Designator = "J3" ("J3"); Footprint = "TERM,HEADER,2PIN,2.54MM"; UniqueID = "\AFZONUXZ" ("\AFZONUXZ")
Change component parameters (AddParameter): Name = "Created By"; Value = "Judd Foster"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Net Class Name"; Value = "S50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor Part Number"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "RES,0402"; UniqueID = "\HDYFGQZF" ("\HDYFGQZF")
Change component parameters (AddParameter): Name = "CreatedBy"; Value = "Judd Foster"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ERJ-2RKF10R0X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Net Class Name"; Value = "S50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor Part Number"; Value = "P10.0LCT-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "RES,0402"; UniqueID = "\PCWONKTT" ("\PCWONKTT")
Change component parameters (AddParameter): Name = "CreatedBy"; Value = "Judd Foster"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ERJ-2RKF10R0X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Net Class Name"; Value = "S50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor Part Number"; Value = "P10.0LCT-ND"; VariantName = "[No Variations]"
