Machine Module,SSA3075X-R,3.2.2.5.1R1
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+2.000000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
100000,-6.558885e+00
100497,-6.260705e+00
100996,-6.312694e+00
101497,-6.349794e+00
102001,-6.248608e+00
102508,-6.465420e+00
103017,-6.511251e+00
103529,-6.417941e+00
104043,-6.543724e+00
104560,-6.407853e+00
105079,-6.358015e+00
105601,-6.399847e+00
106125,-6.241607e+00
106652,-6.342280e+00
107182,-6.512086e+00
107714,-6.447724e+00
108249,-6.542272e+00
108787,-6.359530e+00
109327,-6.327580e+00
109870,-6.298892e+00
110416,-6.325340e+00
110964,-6.227142e+00
111515,-6.113061e+00
112069,-6.541608e+00
112626,-6.258444e+00
113185,-6.312333e+00
113747,-6.332760e+00
114312,-6.404774e+00
114880,-6.297701e+00
115451,-6.363011e+00
116024,-6.375125e+00
116600,-6.460362e+00
117179,-6.329007e+00
117761,-6.487328e+00
118346,-6.414706e+00
118934,-6.444630e+00
119525,-6.273940e+00
120118,-6.472507e+00
120715,-6.327804e+00
121314,-6.433396e+00
121917,-6.382674e+00
122522,-6.396225e+00
123131,-6.476543e+00
123742,-6.346372e+00
124357,-6.474693e+00
124975,-6.342088e+00
125595,-6.357023e+00
126219,-6.243448e+00
126846,-6.333057e+00
127476,-6.331119e+00
128109,-6.436137e+00
128745,-6.457356e+00
129385,-6.511369e+00
130027,-6.459892e+00
130673,-6.449930e+00
131322,-6.365072e+00
131974,-6.199894e+00
132630,-6.428171e+00
133288,-6.571940e+00
133950,-6.377824e+00
134616,-6.456158e+00
135284,-6.418803e+00
135956,-6.339918e+00
136631,-6.323076e+00
137310,-6.424357e+00
137992,-6.306946e+00
138677,-6.399173e+00
139366,-6.354959e+00
140058,-6.425843e+00
140754,-6.446775e+00
141453,-6.441542e+00
142155,-6.422378e+00
142861,-6.259479e+00
143571,-6.526497e+00
144284,-6.398497e+00
145000,-6.388131e+00
145721,-6.452920e+00
146444,-6.519656e+00
147172,-6.475276e+00
147903,-6.584188e+00
148637,-6.322116e+00
149375,-6.358888e+00
150117,-6.398956e+00
150863,-6.391797e+00
151612,-6.327962e+00
152365,-6.483737e+00
153122,-6.457223e+00
153882,-6.378930e+00
154646,-6.279793e+00
155415,-6.441809e+00
156186,-6.444293e+00
156962,-6.324409e+00
157742,-6.393563e+00
158525,-6.445524e+00
159312,-6.254061e+00
160104,-6.450438e+00
160899,-6.386180e+00
161698,-6.453495e+00
162501,-6.393925e+00
163308,-6.339963e+00
164119,-6.322520e+00
164934,-6.426456e+00
