Machine Module,SSA3075X-R,3.2.2.5.1R1
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+2.000000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
100000,-6.290435e+00
100497,-6.253319e+00
100996,-6.352129e+00
101497,-6.579465e+00
102001,-6.275345e+00
102508,-6.490635e+00
103017,-6.444457e+00
103529,-6.300192e+00
104043,-6.055753e+00
104560,-6.442897e+00
105079,-6.342431e+00
105601,-6.536698e+00
106125,-6.567213e+00
106652,-6.359402e+00
107182,-6.561641e+00
107714,-6.579484e+00
108249,-6.263452e+00
108787,-6.458028e+00
109327,-6.275132e+00
109870,-6.276735e+00
110416,-6.440841e+00
110964,-6.490629e+00
111515,-6.344427e+00
112069,-6.520362e+00
112626,-6.371171e+00
113185,-6.348852e+00
113747,-6.291574e+00
114312,-6.409478e+00
114880,-6.367771e+00
115451,-6.473077e+00
116024,-6.416490e+00
116600,-6.440949e+00
117179,-6.370519e+00
117761,-6.440658e+00
118346,-6.344126e+00
118934,-6.421344e+00
119525,-6.403667e+00
120118,-6.563210e+00
120715,-6.332488e+00
121314,-6.589383e+00
121917,-6.303839e+00
122522,-6.385465e+00
123131,-6.246257e+00
123742,-6.305288e+00
124357,-6.385441e+00
124975,-6.354746e+00
125595,-6.296626e+00
126219,-6.406024e+00
126846,-6.415376e+00
127476,-6.379523e+00
128109,-6.385258e+00
128745,-6.444486e+00
129385,-6.406838e+00
130027,-6.422480e+00
130673,-6.237181e+00
131322,-6.366088e+00
131974,-6.311401e+00
132630,-6.342285e+00
133288,-6.346345e+00
133950,-6.359452e+00
134616,-6.359841e+00
135284,-6.220358e+00
135956,-6.419360e+00
136631,-6.290843e+00
137310,-6.394622e+00
137992,-6.463424e+00
138677,-6.395401e+00
139366,-6.323783e+00
140058,-6.263241e+00
140754,-6.325192e+00
141453,-6.376959e+00
142155,-6.302439e+00
142861,-6.445931e+00
143571,-6.376575e+00
144284,-6.354364e+00
145000,-6.381009e+00
145721,-6.372402e+00
146444,-6.352564e+00
147172,-6.382448e+00
147903,-6.453201e+00
148637,-6.239346e+00
149375,-6.394432e+00
150117,-6.289334e+00
150863,-6.409051e+00
151612,-6.376367e+00
152365,-6.321729e+00
153122,-6.307522e+00
153882,-6.303749e+00
154646,-6.367977e+00
155415,-6.381780e+00
156186,-6.354694e+00
156962,-6.463047e+00
157742,-6.373992e+00
158525,-6.510780e+00
159312,-6.397525e+00
160104,-6.533708e+00
160899,-6.458932e+00
161698,-6.312162e+00
162501,-6.357258e+00
163308,-6.385633e+00
164119,-6.395159e+00
164934,-6.424881e+00
